[2022-08-21T08:58:04.667982+00:00] local.INFO: 5XUdSEXZQa | HTTP/1.1 500 | 127.0.0.1 | null | GET http://localhost:8000 [] | 0.24935293197632 s | Mozilla/5.0\s(Macintosh;\sIntel\sMac\sOS\sX\s10_15_7)\sAppleWebKit/605.1.15\s(KHTML,\slike\sGecko)\sVersion/15.5\sSafari/605.1.15 | {referer} ["RESPONSE"] []
[2022-08-21T11:25:57.805861+00:00] local.INFO: pmuHsx4hDO | HTTP/1.0 404 | 127.0.0.1 | null | GET http://localhost:8000/js/popper.min.js.map [] | 0.02859902381897 s | Mozilla/5.0\s(Macintosh;\sIntel\sMac\sOS\sX\s10_15_7)\sAppleWebKit/605.1.15\s(KHTML,\slike\sGecko)\sVersion/15.5\sSafari/605.1.15 | http://localhost:8000/ ["RESPONSE"] []
[2022-08-21T11:25:57.852289+00:00] local.INFO: lK3aqrTBC9 | HTTP/1.0 404 | 127.0.0.1 | null | GET http://localhost:8000/js/bootstrap.min.js.map [] | 0.036679029464722 s | Mozilla/5.0\s(Macintosh;\sIntel\sMac\sOS\sX\s10_15_7)\sAppleWebKit/605.1.15\s(KHTML,\slike\sGecko)\sVersion/15.5\sSafari/605.1.15 | http://localhost:8000/ ["RESPONSE"] []
[2022-08-21T11:26:15.674496+00:00] local.INFO: BgImty6ukm | HTTP/1.1 200 | 127.0.0.1 | administrator@brackets.sk | GET http://localhost:8000/admin/platforms/1/edit [] | 0.1552529335022 s | Mozilla/5.0\s(Macintosh;\sIntel\sMac\sOS\sX\s10_15_7)\sAppleWebKit/605.1.15\s(KHTML,\slike\sGecko)\sVersion/15.5\sSafari/605.1.15 | http://localhost:8000/admin/platforms ["RESPONSE"] []
[2022-08-21T11:26:15.999366+00:00] local.INFO: nhs4Poha0W | HTTP/1.0 404 | 127.0.0.1 | null | GET http://localhost:8000/admin/platforms/1/undefined [] | 0.02564001083374 s | Mozilla/5.0\s(Macintosh;\sIntel\sMac\sOS\sX\s10_15_7)\sAppleWebKit/605.1.15\s(KHTML,\slike\sGecko)\sVersion/15.5\sSafari/605.1.15 | http://localhost:8000/admin/platforms/1/edit ["RESPONSE"] []
[2022-08-21T11:30:11.575319+00:00] local.INFO: c8eZF1UZWV | HTTP/1.1 500 | 127.0.0.1 | null | GET http://localhost:8000 [] | 0.18989896774292 s | Mozilla/5.0\s(Macintosh;\sIntel\sMac\sOS\sX\s10_15_7)\sAppleWebKit/605.1.15\s(KHTML,\slike\sGecko)\sVersion/15.5\sSafari/605.1.15 | {referer} ["RESPONSE"] []
[2022-08-21T11:30:26.974522+00:00] local.INFO: nLCI6gVSnq | HTTP/1.1 200 | 127.0.0.1 | null | GET http://localhost:8000 [] | 0.041209936141968 s | Mozilla/5.0\s(Macintosh;\sIntel\sMac\sOS\sX\s10_15_7)\sAppleWebKit/605.1.15\s(KHTML,\slike\sGecko)\sVersion/15.5\sSafari/605.1.15 | {referer} ["RESPONSE"] []
[2022-08-21T11:30:27.091816+00:00] local.INFO: GLt5Hwzw9Z | HTTP/1.0 404 | 127.0.0.1 | null | GET http://localhost:8000/images/ART%20B.png [] | 0.012011051177979 s | Mozilla/5.0\s(Macintosh;\sIntel\sMac\sOS\sX\s10_15_7)\sAppleWebKit/605.1.15\s(KHTML,\slike\sGecko)\sVersion/15.5\sSafari/605.1.15 | http://localhost:8000/ ["RESPONSE"] []
[2022-08-21T11:30:27.109769+00:00] local.INFO: lvYKlUSivR | HTTP/1.0 404 | 127.0.0.1 | null | GET http://localhost:8000/images/github.png [] | 0.010099172592163 s | Mozilla/5.0\s(Macintosh;\sIntel\sMac\sOS\sX\s10_15_7)\sAppleWebKit/605.1.15\s(KHTML,\slike\sGecko)\sVersion/15.5\sSafari/605.1.15 | http://localhost:8000/ ["RESPONSE"] []
[2022-08-21T11:30:27.128190+00:00] local.INFO: 09rthf3w3U | HTTP/1.0 404 | 127.0.0.1 | null | GET http://localhost:8000/images/pricing.png [] | 0.011277914047241 s | Mozilla/5.0\s(Macintosh;\sIntel\sMac\sOS\sX\s10_15_7)\sAppleWebKit/605.1.15\s(KHTML,\slike\sGecko)\sVersion/15.5\sSafari/605.1.15 | http://localhost:8000/ ["RESPONSE"] []
[2022-08-21T11:40:59.942232+00:00] local.INFO: bgOT05THeD | HTTP/1.1 200 | 127.0.0.1 | null | GET http://localhost:8000 [] | 0.46676802635193 s | Mozilla/5.0\s(Macintosh;\sIntel\sMac\sOS\sX\s10_15_7)\sAppleWebKit/605.1.15\s(KHTML,\slike\sGecko)\sVersion/15.5\sSafari/605.1.15 | {referer} ["RESPONSE"] []
[2022-08-21T11:41:00.070124+00:00] local.INFO: 4sbVzMryEE | HTTP/1.0 404 | 127.0.0.1 | null | GET http://localhost:8000/images/ART%20B.png [] | 0.034486055374146 s | Mozilla/5.0\s(Macintosh;\sIntel\sMac\sOS\sX\s10_15_7)\sAppleWebKit/605.1.15\s(KHTML,\slike\sGecko)\sVersion/15.5\sSafari/605.1.15 | http://localhost:8000/ ["RESPONSE"] []
[2022-08-21T11:41:00.095745+00:00] local.INFO: OSWO3NFZ5B | HTTP/1.0 404 | 127.0.0.1 | null | GET http://localhost:8000/images/github.png [] | 0.011795997619629 s | Mozilla/5.0\s(Macintosh;\sIntel\sMac\sOS\sX\s10_15_7)\sAppleWebKit/605.1.15\s(KHTML,\slike\sGecko)\sVersion/15.5\sSafari/605.1.15 | http://localhost:8000/ ["RESPONSE"] []
[2022-08-21T11:41:00.111529+00:00] local.INFO: KSMGvZfB5j | HTTP/1.0 404 | 127.0.0.1 | null | GET http://localhost:8000/images/pricing.png [] | 0.0088598728179932 s | Mozilla/5.0\s(Macintosh;\sIntel\sMac\sOS\sX\s10_15_7)\sAppleWebKit/605.1.15\s(KHTML,\slike\sGecko)\sVersion/15.5\sSafari/605.1.15 | http://localhost:8000/ ["RESPONSE"] []
[2022-08-21T11:41:00.128284+00:00] local.INFO: pnpvaLpfVT | HTTP/1.0 404 | 127.0.0.1 | null | GET http://localhost:8000/$coverPlatforms_urls[$i] [] | 0.0088820457458496 s | Mozilla/5.0\s(Macintosh;\sIntel\sMac\sOS\sX\s10_15_7)\sAppleWebKit/605.1.15\s(KHTML,\slike\sGecko)\sVersion/15.5\sSafari/605.1.15 | http://localhost:8000/ ["RESPONSE"] []
[2022-08-21T11:41:19.675725+00:00] local.INFO: iRfZfnsCvS | HTTP/1.1 200 | 127.0.0.1 | null | GET http://localhost:8000 [] | 0.075605869293213 s | Mozilla/5.0\s(Macintosh;\sIntel\sMac\sOS\sX\s10_15_7)\sAppleWebKit/605.1.15\s(KHTML,\slike\sGecko)\sVersion/15.5\sSafari/605.1.15 | {referer} ["RESPONSE"] []
[2022-08-21T11:41:19.783556+00:00] local.INFO: vqz4uaFunf | HTTP/1.0 404 | 127.0.0.1 | null | GET http://localhost:8000/images/ART%20B.png [] | 0.015159130096436 s | Mozilla/5.0\s(Macintosh;\sIntel\sMac\sOS\sX\s10_15_7)\sAppleWebKit/605.1.15\s(KHTML,\slike\sGecko)\sVersion/15.5\sSafari/605.1.15 | http://localhost:8000/ ["RESPONSE"] []
[2022-08-21T11:41:19.798965+00:00] local.INFO: PtfCuaH6Ww | HTTP/1.0 404 | 127.0.0.1 | null | GET http://localhost:8000/images/github.png [] | 0.0072100162506104 s | Mozilla/5.0\s(Macintosh;\sIntel\sMac\sOS\sX\s10_15_7)\sAppleWebKit/605.1.15\s(KHTML,\slike\sGecko)\sVersion/15.5\sSafari/605.1.15 | http://localhost:8000/ ["RESPONSE"] []
[2022-08-21T11:41:19.812595+00:00] local.INFO: rh0GriElxC | HTTP/1.0 404 | 127.0.0.1 | null | GET http://localhost:8000/images/pricing.png [] | 0.0080192089080811 s | Mozilla/5.0\s(Macintosh;\sIntel\sMac\sOS\sX\s10_15_7)\sAppleWebKit/605.1.15\s(KHTML,\slike\sGecko)\sVersion/15.5\sSafari/605.1.15 | http://localhost:8000/ ["RESPONSE"] []
[2022-08-21T13:38:43.357178+00:00] local.INFO: NT9nLM2ZC6 | HTTP/1.1 500 | 127.0.0.1 | null | GET http://localhost:8000 [] | 0.39716196060181 s | Mozilla/5.0\s(Macintosh;\sIntel\sMac\sOS\sX\s10_15_7)\sAppleWebKit/605.1.15\s(KHTML,\slike\sGecko)\sVersion/15.5\sSafari/605.1.15 | {referer} ["RESPONSE"] []
[2022-08-21T13:38:43.479053+00:00] local.INFO: CQ8IJFCszZ | HTTP/1.1 200 | 127.0.0.1 | administrator@brackets.sk | GET http://localhost:8000/admin [] | 0.11439800262451 s | Mozilla/5.0\s(Macintosh;\sIntel\sMac\sOS\sX\s10_15_7)\sAppleWebKit/605.1.15\s(KHTML,\slike\sGecko)\sVersion/15.5\sSafari/605.1.15 | {referer} ["RESPONSE"] []
[2022-08-21T13:38:45.481024+00:00] local.INFO: 5AFRQT8DsA | HTTP/1.1 200 | 127.0.0.1 | administrator@brackets.sk | GET http://localhost:8000/admin/designs [] | 0.14781808853149 s | Mozilla/5.0\s(Macintosh;\sIntel\sMac\sOS\sX\s10_15_7)\sAppleWebKit/605.1.15\s(KHTML,\slike\sGecko)\sVersion/15.5\sSafari/605.1.15 | http://localhost:8000/admin ["RESPONSE"] []
[2022-08-21T13:38:47.082630+00:00] local.INFO: IFpg2E0fyn | HTTP/1.1 200 | 127.0.0.1 | administrator@brackets.sk | GET http://localhost:8000/admin/designs/create [] | 0.11563110351562 s | Mozilla/5.0\s(Macintosh;\sIntel\sMac\sOS\sX\s10_15_7)\sAppleWebKit/605.1.15\s(KHTML,\slike\sGecko)\sVersion/15.5\sSafari/605.1.15 | http://localhost:8000/admin/designs ["RESPONSE"] []
[2022-08-21T13:38:56.549597+00:00] local.INFO: 9OFEoxIVRm | HTTP/1.1 200 | 127.0.0.1 | administrator@brackets.sk | POST http://localhost:8000/upload [] | 0.10784101486206 s | Mozilla/5.0\s(Macintosh;\sIntel\sMac\sOS\sX\s10_15_7)\sAppleWebKit/605.1.15\s(KHTML,\slike\sGecko)\sVersion/15.5\sSafari/605.1.15 | http://localhost:8000/admin/designs/create ["RESPONSE"] []
[2022-08-21T13:38:58.814186+00:00] local.INFO: Gjqdo5gW2p | HTTP/1.1 200 | 127.0.0.1 | administrator@brackets.sk | POST http://localhost:8000/admin/designs [] | 0.25799107551575 s | Mozilla/5.0\s(Macintosh;\sIntel\sMac\sOS\sX\s10_15_7)\sAppleWebKit/605.1.15\s(KHTML,\slike\sGecko)\sVersion/15.5\sSafari/605.1.15 | http://localhost:8000/admin/designs/create ["RESPONSE"] []
[2022-08-21T13:38:59.015284+00:00] local.INFO: NPTOZriy61 | HTTP/1.1 200 | 127.0.0.1 | administrator@brackets.sk | GET http://localhost:8000/admin/designs [] | 0.13175821304321 s | Mozilla/5.0\s(Macintosh;\sIntel\sMac\sOS\sX\s10_15_7)\sAppleWebKit/605.1.15\s(KHTML,\slike\sGecko)\sVersion/15.5\sSafari/605.1.15 | http://localhost:8000/admin/designs/create ["RESPONSE"] []
[2022-08-21T13:39:00.767072+00:00] local.INFO: Aj8uwPoiu6 | HTTP/1.1 200 | 127.0.0.1 | administrator@brackets.sk | GET http://localhost:8000/admin/pricings [] | 0.13808298110962 s | Mozilla/5.0\s(Macintosh;\sIntel\sMac\sOS\sX\s10_15_7)\sAppleWebKit/605.1.15\s(KHTML,\slike\sGecko)\sVersion/15.5\sSafari/605.1.15 | http://localhost:8000/admin/designs ["RESPONSE"] []
[2022-08-21T13:39:02.427640+00:00] local.INFO: yNvLvqTXoI | HTTP/1.1 200 | 127.0.0.1 | administrator@brackets.sk | GET http://localhost:8000/admin/designs [] | 0.083914041519165 s | Mozilla/5.0\s(Macintosh;\sIntel\sMac\sOS\sX\s10_15_7)\sAppleWebKit/605.1.15\s(KHTML,\slike\sGecko)\sVersion/15.5\sSafari/605.1.15 | http://localhost:8000/admin/pricings ["RESPONSE"] []
[2022-08-21T13:39:03.822791+00:00] local.INFO: ZkhL8RkFGu | HTTP/1.1 200 | 127.0.0.1 | administrator@brackets.sk | POST http://localhost:8000/admin/designs/1 [] | 0.1187698841095 s | Mozilla/5.0\s(Macintosh;\sIntel\sMac\sOS\sX\s10_15_7)\sAppleWebKit/605.1.15\s(KHTML,\slike\sGecko)\sVersion/15.5\sSafari/605.1.15 | http://localhost:8000/admin/designs ["RESPONSE"] []
[2022-08-21T13:39:04.824601+00:00] local.INFO: CJvKEjtQhc | HTTP/1.1 200 | 127.0.0.1 | administrator@brackets.sk | GET http://localhost:8000/admin/pricings [] | 0.10409879684448 s | Mozilla/5.0\s(Macintosh;\sIntel\sMac\sOS\sX\s10_15_7)\sAppleWebKit/605.1.15\s(KHTML,\slike\sGecko)\sVersion/15.5\sSafari/605.1.15 | http://localhost:8000/admin/designs ["RESPONSE"] []
[2022-08-21T13:39:06.310813+00:00] local.INFO: NjVZWVPVW2 | HTTP/1.1 200 | 127.0.0.1 | administrator@brackets.sk | GET http://localhost:8000/admin/pricings/create [] | 0.088610172271729 s | Mozilla/5.0\s(Macintosh;\sIntel\sMac\sOS\sX\s10_15_7)\sAppleWebKit/605.1.15\s(KHTML,\slike\sGecko)\sVersion/15.5\sSafari/605.1.15 | http://localhost:8000/admin/pricings ["RESPONSE"] []
[2022-08-21T13:39:12.531112+00:00] local.INFO: qfdd8NAZJp | HTTP/1.1 200 | 127.0.0.1 | administrator@brackets.sk | POST http://localhost:8000/upload [] | 0.056756019592285 s | Mozilla/5.0\s(Macintosh;\sIntel\sMac\sOS\sX\s10_15_7)\sAppleWebKit/605.1.15\s(KHTML,\slike\sGecko)\sVersion/15.5\sSafari/605.1.15 | http://localhost:8000/admin/pricings/create ["RESPONSE"] []
[2022-08-21T13:39:15.827424+00:00] local.INFO: 70t7lDEUsB | HTTP/1.1 200 | 127.0.0.1 | administrator@brackets.sk | POST http://localhost:8000/admin/pricings [] | 0.10299396514893 s | Mozilla/5.0\s(Macintosh;\sIntel\sMac\sOS\sX\s10_15_7)\sAppleWebKit/605.1.15\s(KHTML,\slike\sGecko)\sVersion/15.5\sSafari/605.1.15 | http://localhost:8000/admin/pricings/create ["RESPONSE"] []
[2022-08-21T13:39:16.013840+00:00] local.INFO: cj0FGdKn2l | HTTP/1.1 200 | 127.0.0.1 | administrator@brackets.sk | GET http://localhost:8000/admin/pricings [] | 0.14216184616089 s | Mozilla/5.0\s(Macintosh;\sIntel\sMac\sOS\sX\s10_15_7)\sAppleWebKit/605.1.15\s(KHTML,\slike\sGecko)\sVersion/15.5\sSafari/605.1.15 | http://localhost:8000/admin/pricings/create ["RESPONSE"] []
[2022-08-21T13:39:19.513227+00:00] local.INFO: S9V8bkTHxf | HTTP/1.1 200 | 127.0.0.1 | administrator@brackets.sk | GET http://localhost:8000/admin/pricings [] | 0.082229852676392 s | Mozilla/5.0\s(Macintosh;\sIntel\sMac\sOS\sX\s10_15_7)\sAppleWebKit/605.1.15\s(KHTML,\slike\sGecko)\sVersion/15.5\sSafari/605.1.15 | {referer} ["RESPONSE"] []
[2022-08-21T13:39:20.514195+00:00] local.INFO: UqdbqlUCQ8 | HTTP/1.1 200 | 127.0.0.1 | administrator@brackets.sk | GET http://localhost:8000/admin [] | 0.10826015472412 s | Mozilla/5.0\s(Macintosh;\sIntel\sMac\sOS\sX\s10_15_7)\sAppleWebKit/605.1.15\s(KHTML,\slike\sGecko)\sVersion/15.5\sSafari/605.1.15 | {referer} ["RESPONSE"] []
[2022-08-21T13:39:21.158440+00:00] local.INFO: UX5k6kCPmo | HTTP/1.1 500 | 127.0.0.1 | null | GET http://localhost:8000 [] | 0.1430139541626 s | Mozilla/5.0\s(Macintosh;\sIntel\sMac\sOS\sX\s10_15_7)\sAppleWebKit/605.1.15\s(KHTML,\slike\sGecko)\sVersion/15.5\sSafari/605.1.15 | {referer} ["RESPONSE"] []
[2022-08-21T13:40:25.581653+00:00] local.INFO: IfCBuSkbwp | HTTP/1.1 500 | 127.0.0.1 | null | GET http://localhost:8000 [] | 0.1104040145874 s | Mozilla/5.0\s(Macintosh;\sIntel\sMac\sOS\sX\s10_15_7)\sAppleWebKit/605.1.15\s(KHTML,\slike\sGecko)\sVersion/15.5\sSafari/605.1.15 | {referer} ["RESPONSE"] []
[2022-08-21T13:40:34.509955+00:00] local.INFO: 1g2SJxFVzB | HTTP/1.1 200 | 127.0.0.1 | null | GET http://localhost:8000 [] | 0.074999809265137 s | Mozilla/5.0\s(Macintosh;\sIntel\sMac\sOS\sX\s10_15_7)\sAppleWebKit/605.1.15\s(KHTML,\slike\sGecko)\sVersion/15.5\sSafari/605.1.15 | {referer} ["RESPONSE"] []
[2022-08-21T13:40:34.599578+00:00] local.INFO: ujai8xRoTd | HTTP/1.0 404 | 127.0.0.1 | null | GET http://localhost:8000/images/ART%20B.png [] | 0.011746883392334 s | Mozilla/5.0\s(Macintosh;\sIntel\sMac\sOS\sX\s10_15_7)\sAppleWebKit/605.1.15\s(KHTML,\slike\sGecko)\sVersion/15.5\sSafari/605.1.15 | http://localhost:8000/ ["RESPONSE"] []
[2022-08-21T13:41:08.654091+00:00] local.INFO: 5SOnrDxtug | HTTP/1.1 200 | 127.0.0.1 | null | GET http://localhost:8000 [] | 0.087737083435059 s | Mozilla/5.0\s(Macintosh;\sIntel\sMac\sOS\sX\s10_15_7)\sAppleWebKit/605.1.15\s(KHTML,\slike\sGecko)\sVersion/15.5\sSafari/605.1.15 | {referer} ["RESPONSE"] []
[2022-08-21T13:41:08.766749+00:00] local.INFO: Un9OcE23m7 | HTTP/1.0 404 | 127.0.0.1 | null | GET http://localhost:8000/images/ART%20B.png [] | 0.016653060913086 s | Mozilla/5.0\s(Macintosh;\sIntel\sMac\sOS\sX\s10_15_7)\sAppleWebKit/605.1.15\s(KHTML,\slike\sGecko)\sVersion/15.5\sSafari/605.1.15 | http://localhost:8000/ ["RESPONSE"] []
[2022-08-21T13:41:09.316953+00:00] local.INFO: TQfj5cNmmN | HTTP/1.1 200 | 127.0.0.1 | administrator@brackets.sk | GET http://localhost:8000/admin [] | 0.078310012817383 s | Mozilla/5.0\s(Macintosh;\sIntel\sMac\sOS\sX\s10_15_7)\sAppleWebKit/605.1.15\s(KHTML,\slike\sGecko)\sVersion/15.5\sSafari/605.1.15 | {referer} ["RESPONSE"] []
[2022-08-21T13:41:12.015666+00:00] local.INFO: jHlulKpo9W | HTTP/1.1 200 | 127.0.0.1 | administrator@brackets.sk | GET http://localhost:8000/admin/pricings [] | 0.097234964370728 s | Mozilla/5.0\s(Macintosh;\sIntel\sMac\sOS\sX\s10_15_7)\sAppleWebKit/605.1.15\s(KHTML,\slike\sGecko)\sVersion/15.5\sSafari/605.1.15 | http://localhost:8000/admin ["RESPONSE"] []
[2022-08-21T13:41:14.423089+00:00] local.INFO: 8UjICccPCA | HTTP/1.1 200 | 127.0.0.1 | administrator@brackets.sk | GET http://localhost:8000/admin/pricings/1/edit [] | 0.10622191429138 s | Mozilla/5.0\s(Macintosh;\sIntel\sMac\sOS\sX\s10_15_7)\sAppleWebKit/605.1.15\s(KHTML,\slike\sGecko)\sVersion/15.5\sSafari/605.1.15 | http://localhost:8000/admin/pricings ["RESPONSE"] []
[2022-08-21T13:41:14.697474+00:00] local.INFO: 8v00ILkXtG | HTTP/1.0 404 | 127.0.0.1 | null | GET http://localhost:8000/admin/pricings/1/undefined [] | 0.012104034423828 s | Mozilla/5.0\s(Macintosh;\sIntel\sMac\sOS\sX\s10_15_7)\sAppleWebKit/605.1.15\s(KHTML,\slike\sGecko)\sVersion/15.5\sSafari/605.1.15 | http://localhost:8000/admin/pricings/1/edit ["RESPONSE"] []
[2022-08-21T13:41:29.806610+00:00] local.INFO: DuqrJpSh4A | HTTP/1.1 200 | 127.0.0.1 | administrator@brackets.sk | POST http://localhost:8000/admin/pricings/1 [] | 0.086179971694946 s | Mozilla/5.0\s(Macintosh;\sIntel\sMac\sOS\sX\s10_15_7)\sAppleWebKit/605.1.15\s(KHTML,\slike\sGecko)\sVersion/15.5\sSafari/605.1.15 | http://localhost:8000/admin/pricings/1/edit ["RESPONSE"] []
[2022-08-21T13:41:29.969437+00:00] local.INFO: rdWbZiQQK5 | HTTP/1.1 200 | 127.0.0.1 | administrator@brackets.sk | GET http://localhost:8000/admin/pricings [] | 0.11683106422424 s | Mozilla/5.0\s(Macintosh;\sIntel\sMac\sOS\sX\s10_15_7)\sAppleWebKit/605.1.15\s(KHTML,\slike\sGecko)\sVersion/15.5\sSafari/605.1.15 | http://localhost:8000/admin/pricings/1/edit ["RESPONSE"] []
[2022-08-21T13:42:05.952456+00:00] local.INFO: E6gMmhjACU | HTTP/1.1 500 | 127.0.0.1 | null | GET http://localhost:8000 [] | 0.21080899238586 s | Mozilla/5.0\s(Macintosh;\sIntel\sMac\sOS\sX\s10_15_7)\sAppleWebKit/605.1.15\s(KHTML,\slike\sGecko)\sVersion/15.5\sSafari/605.1.15 | {referer} ["RESPONSE"] []
[2022-08-21T13:42:06.007667+00:00] local.INFO: mt6K4KYqbY | HTTP/1.0 404 | 127.0.0.1 | null | GET http://localhost:8000/images/ART%20B.png [] | 0.0096778869628906 s | Mozilla/5.0\s(Macintosh;\sIntel\sMac\sOS\sX\s10_15_7)\sAppleWebKit/605.1.15\s(KHTML,\slike\sGecko)\sVersion/15.5\sSafari/605.1.15 | http://localhost:8000/ ["RESPONSE"] []
[2022-08-21T13:43:02.615836+00:00] local.INFO: lZ1q871Pua | HTTP/1.1 200 | 127.0.0.1 | null | GET http://localhost:8000 [] | 0.098001956939697 s | Mozilla/5.0\s(Macintosh;\sIntel\sMac\sOS\sX\s10_15_7)\sAppleWebKit/605.1.15\s(KHTML,\slike\sGecko)\sVersion/15.5\sSafari/605.1.15 | {referer} ["RESPONSE"] []
[2022-08-21T13:43:02.732021+00:00] local.INFO: pWkm9FfKdk | HTTP/1.0 404 | 127.0.0.1 | null | GET http://localhost:8000/images/ART%20B.png [] | 0.014126062393188 s | Mozilla/5.0\s(Macintosh;\sIntel\sMac\sOS\sX\s10_15_7)\sAppleWebKit/605.1.15\s(KHTML,\slike\sGecko)\sVersion/15.5\sSafari/605.1.15 | http://localhost:8000/ ["RESPONSE"] []
[2022-08-21T13:44:36.917544+00:00] local.INFO: e2xuSAiQBf | HTTP/1.1 200 | 127.0.0.1 | null | GET http://localhost:8000 [] | 0.12869501113892 s | Mozilla/5.0\s(Macintosh;\sIntel\sMac\sOS\sX\s10_15_7)\sAppleWebKit/605.1.15\s(KHTML,\slike\sGecko)\sVersion/15.5\sSafari/605.1.15 | {referer} ["RESPONSE"] []
[2022-08-21T13:44:37.028728+00:00] local.INFO: GsoAwkS9Bn | HTTP/1.0 404 | 127.0.0.1 | null | GET http://localhost:8000/images/ART%20B.png [] | 0.016139984130859 s | Mozilla/5.0\s(Macintosh;\sIntel\sMac\sOS\sX\s10_15_7)\sAppleWebKit/605.1.15\s(KHTML,\slike\sGecko)\sVersion/15.5\sSafari/605.1.15 | http://localhost:8000/ ["RESPONSE"] []
[2022-08-21T13:44:37.123528+00:00] local.INFO: B2XNHgOYV7 | HTTP/1.0 404 | 127.0.0.1 | null | GET http://localhost:8000/images/icon/favicon.png [] | 0.012414932250977 s | Mozilla/5.0\s(Macintosh;\sIntel\sMac\sOS\sX\s10_15_7)\sAppleWebKit/605.1.15\s(KHTML,\slike\sGecko)\sVersion/15.5\sSafari/605.1.15 | http://localhost:8000/ ["RESPONSE"] []
[2022-08-21T13:44:38.482568+00:00] local.INFO: asvZzIzgwP | HTTP/1.0 404 | 127.0.0.1 | null | GET http://localhost:8000/%3Cp%3E%3Ca%20href=%22https://www.upwork.com/services/product/astonishing-ig-fb-posts-for-your-business-1550769798409711616 [ref=>project_share">https://www.upwork.com/services/product/astonishing-ig-fb-posts-for-your-business-1550769798409711616?ref=project_share</a><br></p>] | 0.008544921875 s | Mozilla/5.0\s(Macintosh;\sIntel\sMac\sOS\sX\s10_15_7)\sAppleWebKit/605.1.15\s(KHTML,\slike\sGecko)\sVersion/15.5\sSafari/605.1.15 | http://localhost:8000/ ["RESPONSE"] []
[2022-08-21T13:44:52.778594+00:00] local.INFO: V75jhXj71U | HTTP/1.0 404 | 127.0.0.1 | null | GET http://localhost:8000/%3Cp%3E%3Ca%20href=%22https://www.upwork.com/services/product/astonishing-ig-fb-posts-for-your-business-1550769798409711616 [ref=>project_share">https://www.upwork.com/services/product/astonishing-ig-fb-posts-for-your-business-1550769798409711616?ref=project_share</a><br></p>] | 0.012264013290405 s | Mozilla/5.0\s(Macintosh;\sIntel\sMac\sOS\sX\s10_15_7)\sAppleWebKit/605.1.15\s(KHTML,\slike\sGecko)\sVersion/15.5\sSafari/605.1.15 | http://localhost:8000/ ["RESPONSE"] []
[2022-08-21T13:45:43.915844+00:00] local.INFO: Jdz4RsrE6o | HTTP/1.1 200 | 127.0.0.1 | null | GET http://localhost:8000 [] | 0.097923040390015 s | Mozilla/5.0\s(Macintosh;\sIntel\sMac\sOS\sX\s10_15_7)\sAppleWebKit/605.1.15\s(KHTML,\slike\sGecko)\sVersion/15.5\sSafari/605.1.15 | {referer} ["RESPONSE"] []
[2022-08-21T13:45:44.035388+00:00] local.INFO: xlsiHDihB2 | HTTP/1.0 404 | 127.0.0.1 | null | GET http://localhost:8000/images/ART%20B.png [] | 0.011852979660034 s | Mozilla/5.0\s(Macintosh;\sIntel\sMac\sOS\sX\s10_15_7)\sAppleWebKit/605.1.15\s(KHTML,\slike\sGecko)\sVersion/15.5\sSafari/605.1.15 | http://localhost:8000/ ["RESPONSE"] []
[2022-08-21T13:45:51.209452+00:00] local.INFO: FkD9IkgGsn | HTTP/1.1 200 | 127.0.0.1 | null | GET http://localhost:8000 [] | 0.09111499786377 s | Mozilla/5.0\s(Macintosh;\sIntel\sMac\sOS\sX\s10_15_7)\sAppleWebKit/605.1.15\s(KHTML,\slike\sGecko)\sVersion/15.5\sSafari/605.1.15 | {referer} ["RESPONSE"] []
[2022-08-21T13:45:51.325060+00:00] local.INFO: PAf9kjxHTs | HTTP/1.0 404 | 127.0.0.1 | null | GET http://localhost:8000/images/ART%20B.png [] | 0.013262033462524 s | Mozilla/5.0\s(Macintosh;\sIntel\sMac\sOS\sX\s10_15_7)\sAppleWebKit/605.1.15\s(KHTML,\slike\sGecko)\sVersion/15.5\sSafari/605.1.15 | http://localhost:8000/ ["RESPONSE"] []
[2022-08-21T13:46:02.269690+00:00] local.INFO: F0Fcp7xyAD | HTTP/1.1 500 | 127.0.0.1 | null | GET http://localhost:8000 [] | 0.19666790962219 s | Mozilla/5.0\s(Macintosh;\sIntel\sMac\sOS\sX\s10_15_7)\sAppleWebKit/605.1.15\s(KHTML,\slike\sGecko)\sVersion/15.5\sSafari/605.1.15 | {referer} ["RESPONSE"] []
[2022-08-21T13:47:25.964703+00:00] local.INFO: 69VoPhub4D | HTTP/1.1 200 | 127.0.0.1 | administrator@brackets.sk | GET http://localhost:8000/admin/pricings/1/edit [] | 0.14657688140869 s | Mozilla/5.0\s(Macintosh;\sIntel\sMac\sOS\sX\s10_15_7)\sAppleWebKit/605.1.15\s(KHTML,\slike\sGecko)\sVersion/15.5\sSafari/605.1.15 | http://localhost:8000/admin/pricings ["RESPONSE"] []
[2022-08-21T13:47:26.447263+00:00] local.INFO: Ri9lhnWzwW | HTTP/1.0 404 | 127.0.0.1 | null | GET http://localhost:8000/admin/pricings/1/undefined [] | 0.015583038330078 s | Mozilla/5.0\s(Macintosh;\sIntel\sMac\sOS\sX\s10_15_7)\sAppleWebKit/605.1.15\s(KHTML,\slike\sGecko)\sVersion/15.5\sSafari/605.1.15 | http://localhost:8000/admin/pricings/1/edit ["RESPONSE"] []
